customer_id,first_name,last_name,email,address,phone
1,Troy,Hawkins,kelly07@example.com,"5250 Cynthia Junction Apt. 622, Phillipsport, WA 45109",259.752.9466x322
2,Timothy,Ryan,hornyolanda@example.com,"1631 Jensen Bypass Suite 466, East Charles, NM 13904",+1-547-460-5352x87711
3,David,Johnson,nallen@example.com,"5714 Ian Extension Suite 725, New Joshua, PR 78954",+1-822-951-2271x6463
4,Dawn,Becker,upatton@example.net,"85738 Erin Ports, North Tonymouth, FM 42690",001-484-674-2848x92542
5,Sherry,Butler,hernandezraven@example.org,"719 Garcia Lane Suite 433, Lorimouth, DC 37699",+1-291-677-2803x1888
6,Dwayne,Mitchell,kellycaitlin@example.net,"USNS Jensen, FPO AA 50839",5847244957
7,Robin,Brown,morganjason@example.org,"539 Amy Valley Suite 121, Petersonburgh, PW 32579",(514)901-3231x1503
8,Spencer,Garcia,andrewgreer@example.org,"29780 Smith Cove, West Christina, VA 32154",001-230-508-3982x01103
9,Patricia,Rios,marcusford@example.com,"USNV Castro, FPO AE 92134",336-473-3412
10,Cindy,Sullivan,johngomez@example.com,"517 Hanson Way Apt. 550, Calebhaven, LA 26287",653-584-8331x977
11,Jasmine,Reyes,williamsnicole@example.com,"7796 Sanders Rest, Lake Emma, CA 16737",326.477.9769x73361
12,Lori,Hayes,nicholas28@example.org,"0801 Christopher Causeway, East Christina, NE 13533",4436363659
13,John,Stone,scotthawkins@example.net,"15931 Jenny Road Apt. 105, Martinezchester, MA 84371",001-298-755-7300x01683
14,Rebecca,Reyes,ymiller@example.org,"27345 White Place, Lake Evanfort, AS 51747",+1-679-328-9347x626
15,Alexander,Gonzalez,paul11@example.com,"9891 Campbell Place, Jesseshire, PR 23725",001-687-499-7170
16,Michelle,Young,amaynard@example.com,"0296 Crawford Plains Apt. 750, South Jennifer, MP 31951",001-227-575-7770x0133
17,Arthur,Garcia,chenson@example.org,"Unit 3653 Box 7504, DPO AE 15771",853.660.3560x8411
18,Christian,Fernandez,aprilrandolph@example.org,"63666 Flynn Crossing Apt. 306, Port Manuel, NC 41967",4222320346
19,Paula,Owen,longsarah@example.org,"8067 Aaron Track Apt. 445, Sanchezshire, NH 40063",905.900.3720x4194
20,Sheila,Lewis,rthompson@example.com,"5991 Tracey Ranch, Jonesberg, TN 13303",001-589-899-7888x679
21,Lucas,Chan,candicestewart@example.net,"01236 Bauer Turnpike, Smithtown, AR 58913",869.958.9570x4023
22,Rebecca,Goodman,ntucker@example.net,"62134 Gomez Cove, Port Lauraland, AR 36161",001-848-811-7978
23,Julian,Marshall,kimberly71@example.org,"8489 Denise Villages Apt. 442, West Elizabeth, IL 65790",631-519-6610
24,Melvin,Brock,guzmanmichael@example.com,"232 Brown Prairie Apt. 997, Lake Robinfurt, AL 17110",(412)740-6756
25,Justin,Brown,jessica37@example.net,"1371 Grant Street, New Danielleville, SC 20938",641.314.7199x6430
26,Keith,Morris,ericwise@example.net,"228 Jonathan Route Suite 655, Mayerport, NJ 71791",+1-948-837-5906
27,Ashley,Goodman,klinecrystal@example.com,"96755 Dakota Shoals Apt. 879, Colemanbury, VT 70915",2319384727
28,Stephen,Newton,nbradley@example.net,"PSC 1118, Box 6029, APO AE 02923",+1-454-504-5992
29,Janet,Brooks,paula94@example.net,"213 Laura Bridge, South Williamberg, OR 73628",544.469.5583
30,Katelyn,Moore,ingramanthony@example.net,"88331 Ramirez Parks, Leeborough, AL 95928",649-778-4918x4864
